,id,header,offeredSince,availabilty,status,statusNew,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,energy,agent,link,scrapDate
18,af763da2,Apartment Sarphatistraat 678,"
3 weeks
","
Immediately
",NA,"
For rent
",2200.0,1018,AV,Oostelijke Eilanden/Kadijken,75,3,Furnished,Not Available,Oei Housing Amsterdam - Expat Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/af763da2/sarphatistraat,2022-10-25 22:18:52
19,3c8678e0,Apartment Vrijheidslaan 11 3,"
3 weeks
","
From 01-11-2022
",Rented under option,"
Rented under option
",2750.0,1079,KA,Rijnbuurt,100,4,Furnished,D,Holland Home Management,https://www.pararius.com/apartment-for-rent/amsterdam/3c8678e0/vrijheidslaan,2022-10-25 22:18:52
20,b9f536f4,Apartment Tommaso Albinonistraat 164 2 pp,"
3 weeks
","
From 15-11-2022
",Rented under option,"
Rented under option
",7750.0,1083,HM,Zuidas,177,3,Furnished,Not Available,Makelaarskantoor Carla van den Brink,https://www.pararius.com/apartment-for-rent/amsterdam/b9f536f4/tommaso-albinonistraat,2022-10-25 22:18:52
21,f52e814f,Studio Schaarsbergenstraat 39,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",1200.0,1107,JS,Holendrecht/Reigersbos,34,1,Furnished,C,ViaDaan,https://www.pararius.com/studio-for-rent/amsterdam/f52e814f/schaarsbergenstraat,2022-10-25 22:18:52
22,9fc9c95f,Apartment Scheldestraat,"
3 weeks
","
Immediately
",NA,"
For rent
",2500.0,1078,GE,Scheldebuurt,89,4,Upholstered,B,BrinkBorgh Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/9fc9c95f/scheldestraat,2022-10-25 22:18:52
23,97bfa83b,Apartment Gaaspstraat 25 1,"
3 weeks
","
Immediately
",NA,"
For rent
",1950.0,1079,VB,Rijnbuurt,51,3,Upholstered,E,Oei Housing Amsterdam - Expat Apartments,https://www.pararius.com/apartment-for-rent/amsterdam/97bfa83b/gaaspstraat,2022-10-25 22:18:52
24,a36d45e4,Apartment Reguliersdwarsstraat 2 III,"
3 weeks
","
Immediately
",Rented under option,"
Rented under option
",1800.0,1017,BM,Grachtengordel-Zuid,55,2,Upholstered,G,Makelaarshuis Amsterdam - Zaanstad,https://www.pararius.com/apartment-for-rent/amsterdam/a36d45e4/reguliersdwarsstraat,2022-10-25 22:18:52
25,b1877e7a,Apartment Rapenburgerstraat,"
3 weeks
","
From 15-11-2022
",NA,"
For rent
",3250.0,1011,VM,Nieuwmarkt/Lastage,125,4,Upholstered,Not Available,Interhouse verhuurmakelaars Amsterdam,https://www.pararius.com/apartment-for-rent/amsterdam/b1877e7a/rapenburgerstraat,2022-10-25 22:18:52
26,62b29d3d,Apartment Jan van Duivenvoordestraat 119,"
3 weeks
","
From 01-11-2022
",NA,"
For rent
",1900.0,1067,MT,Geuzenveld,95,4,Furnished,B,Renthouse Vastgoed,https://www.pararius.com/apartment-for-rent/amsterdam/62b29d3d/jan-van-duivenvoordestraat,2022-10-25 22:18:52
27,fd480ae9,Apartment Gustav Mahlerlaan,"
3 weeks
","
In consultation
",NA,"
For rent
",3950.0,1082,ME,Zuidas,112,3,Furnished,A,Eefje Voogd Makelaardij,https://www.pararius.com/apartment-for-rent/amsterdam/fd480ae9/gustav-mahlerlaan,2022-10-25 22:18:52
