,id,header,status,price,postCode1,postCode2,neighbourhood,areaM2,rooms,interior,agent,link,scrapDate
6,16428779,Apartment Korte Ouderkerkerdijk 1 C1,NA,3850.0,1096,AC,Omval/Overamstel,139,3,NA,Broersma Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/16428779/korte-ouderkerkerdijk,2022-09-25 21:19:39
7,c8771ecd,Apartment Schoorlstraat,NA,1500.0,1024,PV,Waterlandpleinbuurt,75,4,Furnished,123Wonen Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/c8771ecd/schoorlstraat,2022-09-25 21:19:39
8,a96a5101,Apartment Gustav Mahlerlaan 359,NA,5850.0,1082,MK,Zuidas,132,3,Upholstered or furnished,Engel en Volkers Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/a96a5101/gustav-mahlerlaan,2022-09-25 21:19:39
9,de9c91d6,Apartment Nassaukade 123 III,NA,3250.0,1052,EC,Frederik Hendrikbuurt,108,4,NA,KNAP Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/de9c91d6/nassaukade,2022-09-25 21:19:39
10,1c9b05ef,Apartment Dalsteindreef 264,Rented under option,1650.0,1102,WZ,Bijlmer Centrum ,69,3,NA,Linger OG,http://www.pararius.com/apartment-for-rent/amsterdam/1c9b05ef/dalsteindreef,2022-09-25 21:19:39
11,67fa5f60,Apartment Gustav Mahlerplein 285 PH,NA,8000.0,1082,MS,Zuidas,193,4,Furnished,Broersma Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/67fa5f60/gustav-mahlerplein,2022-09-25 21:19:39
12,bf14b931,Apartment Nieuwe Hoogstraat,NA,2800.0,1011,HD,Nieuwmarkt/Lastage,65,2,Furnished,Expat Rentals Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/bf14b931/nieuwe-hoogstraat,2022-09-25 21:19:39
13,aa293fa6,Apartment Nieuwe Prinsengracht,NA,2100.0,1018,XH,Weesperbuurt/Plantage,90,2,Furnished,City Homes,http://www.pararius.com/apartment-for-rent/amsterdam/aa293fa6/nieuwe-prinsengracht,2022-09-25 21:19:39
14,50c6937b,Apartment Wiborgeiland,NA,2975.0,1014,ZC,Houthavens,100,3,Upholstered,City Homes,http://www.pararius.com/apartment-for-rent/amsterdam/50c6937b/wiborgeiland,2022-09-25 21:19:39
15,65cf70a6,Apartment Kleiburg,NA,2995.0,1104,EA,Bijlmer Oost ,98,6,Furnished,ESTATEC,http://www.pararius.com/apartment-for-rent/amsterdam/65cf70a6/kleiburg,2022-09-25 21:19:39
16,867878ce,Apartment Kinderdijkstraat,NA,2400.0,1079,GP,Rijnbuurt,86,3,NA,Ramón Mossel Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/867878ce/kinderdijkstraat,2022-09-25 21:19:39
17,ec18994c,Apartment Prinsengracht,NA,3000.0,1017,JV,Grachtengordel-Zuid,110,3,Upholstered,Hollandsche Makelaardij,http://www.pararius.com/apartment-for-rent/amsterdam/ec18994c/prinsengracht,2022-09-25 21:19:39
18,a761ed37,Apartment Rustenburgerstraat 146 A20,NA,2300.0,1073,GJ,Nieuwe Pijp,55,3,Furnished,ViaDaan,http://www.pararius.com/apartment-for-rent/amsterdam/a761ed37/rustenburgerstraat,2022-09-25 21:19:39
19,cc3c5c52,Apartment Valeriusplein 26 3,NA,4000.0,1075,BH,Willemspark,85,3,Furnished,DSTRCT Amsterdam,http://www.pararius.com/apartment-for-rent/amsterdam/cc3c5c52/valeriusplein,2022-09-25 21:19:39
20,8982f430,Apartment Tweede Jan Steenstraat 25 H,NA,2850.0,1073,VL,Oude Pijp,83,3,Furnished,Huizenbalie.nl,http://www.pararius.com/apartment-for-rent/amsterdam/8982f430/tweede-jan-steenstraat,2022-09-25 21:19:39
21,a9932bdc,Apartment Cruquiusweg,NA,2275.0,1019,AK,Oostelijk Havengebied,85,3,Furnished,Housing Experts,http://www.pararius.com/apartment-for-rent/amsterdam/a9932bdc/cruquiusweg,2022-09-25 21:19:39
22,090b0bb5,Apartment Oeverpad,NA,2700.0,1068,PM,Osdorp-Oost,140,3,Upholstered,City Homes,http://www.pararius.com/apartment-for-rent/amsterdam/090b0bb5/oeverpad,2022-09-25 21:19:39
23,a522fae6,Apartment Pieter Cornelisz. Hooftstraat,Rented under option,2750.0,1071,BM,Museumkwartier,70,3,NA,Mar. J. Heule,http://www.pararius.com/apartment-for-rent/amsterdam/a522fae6/pieter-cornelisz-hooftstraat,2022-09-25 21:19:39
24,526b4099,Apartment Hageland,NA,1750.0,1066,SB,Sloter-/Riekerpolder,104,3,NA,Rebid,http://www.pararius.com/apartment-for-rent/amsterdam/526b4099/hageland,2022-09-25 21:19:39
